,Train_loss,Val_loss,,
76,1.1273152,0.837197,0.6903098191,0.8202716323
77,1.0176277,1.1138864,0.6828923727,0.807716147
78,1.0167737,1.0241789,0.6108649027,0.752448978
79,0.8150699,1.0080519,0.7377196571,0.7894540994
80,0.71107674,0.91391504,0.6987125999,0.8153122531
81,1.085531,1.0477586,0.7030498398,0.8074977368
82,0.6218971,0.9096526,0.6806732819,0.7836012415
83,0.9124783,0.89327323,0.7019087488,0.7888025785
84,0.8805196,0.87614584,0.6712283165,0.7883378576
85,0.8212446,1.116987,0.6480594827,0.7696020937
86,0.64472556,0.90608275,0.6968383265,0.7789610765
87,1.1592762,0.7975628,0.6605964479,0.7785358323
88,0.6397585,1.0750215,0.6832905213,0.8203199064
89,0.8267932,0.99166536,0.6846708156,0.7901394095
90,0.95572585,0.8923375,0.6752920507,0.797926354
91,1.303412,0.82969713,0.7285349857,0.789664886
92,1.2585931,0.94941545,0.6769099883,0.7960831115
93,1.2472471,0.8054738,0.6430968255,0.7758845958
94,0.88257617,0.94903755,0.6840781386,0.8264488962
95,1.6326174,1.0320265,0.7013712891,0.8118868208
96,1.2794654,0.99766517,0.6245164809,0.7827483945
97,0.8779646,0.9926634,0.6814117555,0.8039952698
98,1.1060916,0.8582194,0.6879272349,0.8098177217
99,1.0372072,1.1070168,0.6877230808,0.8028800876
100,1.3767045,0.8346824,0.6569372917,0.7965048525
101,0.7212142,0.9256916,0.6482742478,0.7619336818
102,0.5930985,0.8139546,0.5793816746,0.7083766322
103,1.0936912,0.933733,0.6185891835,0.7677997327
104,1.1286544,0.8291654,0.5608054667,0.7448018604
105,0.47943777,0.7939324,0.60718113,0.7532242764
106,0.8580785,0.8649804,0.638674161,0.7914031613
107,0.90904295,0.8858638,0.6111712116,0.7594353415
108,1.1644573,1.2099485,0.6012666224,0.7774898985
109,1.7020439,1.017309,0.6304787335,0.7631155209
110,0.88238895,1.131643,0.5730899715,0.7738760768
111,1.0168326,0.828526,0.5915632233,0.7486907252
112,0.98699015,1.125307,0.6092468811,0.7807856932
113,0.78494346,0.84805036,0.5862530409,0.7410120299
114,0.66381276,0.8008055,0.571156552,0.7587938913
115,0.9070997,0.92943925,0.5705413783,0.7353231475
116,0.7686659,0.9233541,0.5909820675,0.7378084881
117,1.001189,1.001899,0.6065321809,0.7730995254
118,0.89886177,0.9949777,0.5882251959,0.7325296405
119,0.4985687,0.90898144,0.5938528028,0.8160081329
120,1.136504,0.8865613,0.5952739619,0.7392306528
121,0.7183725,1.0295879,0.5927826318,0.8090434002
122,0.72956645,0.85404694,0.6395195158,0.7700976794
123,0.9845459,0.82141304,0.5662392609,0.7428390322
124,0.95649946,1.0206344,0.55182194886,0.7457538934
125,0.9150841,0.9361164,0.5576053142,0.7536728547
126,0.7525704,0.9557668,0.5656102626,0.7541801498
127,0.95851773,0.86459416,0.6046072005,0.7730462917
128,0.92749375,1.0439119,0.5592482175,0.7639627567
129,0.88660085,0.8611576,0.6057132082,0.7626715738
130,1.298198,0.9183795,0.5666346606,0.7651385575
131,0.38742623,0.8625773,0.5933917191,0.7753148443
132,1.1367857,0.93292874,0.6356998936,0.7969784827
133,0.9759612,0.9237671,0.5524807041,0.7644269278
134,1.0917491,0.8499036,0.5736998081,0.7669568247
135,0.7515502,0.95240784,0.5239561199,0.7324353924
136,1.412692,0.92258453,0.6049258516,0.7756763781
137,0.78931993,0.9689349,0.6105656516,0.7737424066
138,1.0815756,0.84187865,0.609685736,0.7729078901
139,1.2986612,1.032428,0.565349173,0.7766417378
140,1.1500225,1.158654,0.5627090218,0.7728153028
141,0.77666664,1.086933,0.5901200241,0.7613176666
