smiles,T1,T2,T3,T4,T5,Viscosity_1,Viscosity_2,Viscosity_3,Viscosity_4,Viscosity_5,Ln(A),Ea/R
Oc1ccccc1Cl,447.14999999999986,409.3960495787031,360.3790163706993,323.2126709232288,283.15430000000003,0.3843,0.55385,0.86575,1.842,6.39,-5.691406275127351,2068.560867911255
COc1ccccc1Cl,469.1499999999999,446.64944027762215,413.05,362.6271906861395,290.45,0.3061,0.35805,0.4672,0.776,2.461,-4.398039548526773,1503.051584672621
CC(C)Cl,306.17,301.37,289.62,284.17,273.424,0.2829,0.2962,0.3341,0.354,0.4,-4.233919150620117,907.7743105840004
Cc1ccccc1Cl,432.14999999999986,395.6342032099078,353.15,310.83348957135337,273.1539,0.2861,0.36745,0.5222,0.8228500000000001,1.4029,-3.938063026701472,1161.264809456599
CCOc1ccccc1N,373.52,342.85858225265923,308.06887067986366,288.063239632136,273.21,0.993,1.63145,3.6721,7.7654,16.5071,-7.56132585719922,2770.279407888891
CCOCCO,313.15,308.1499999999999,303.15,298.15187000000003,298.15172999999993,1.333,1.471,1.644,1.838,1.846,-6.385949033843325,2086.706500192588
CCOc1ccccc1C,443.7499999999999,413.1870598911072,383.28989826529283,337.95436067997036,288.15,0.2672,0.33535,0.4340000000000001,0.70955,1.569,-4.455907404905382,1389.335728578421
CCCCC(CC)CO,373.1499999999999,342.85858225265923,308.06887067986366,288.063239632136,273.18999999999994,0.8077,1.60105,4.37795,9.95035,20.7151,-9.032767386166473,3259.491930680145
CCCCC(=C)CC,373.1499999999999,342.85858225265923,323.15,308.06887067986366,293.15,0.225,0.288,0.345,0.402,0.472,-4.244234136462674,1027.167147766545
CCc1ccccc1N,371.99999999999994,317.99999999999994,311.0,303.00000000000006,292.99999999999994,0.91,2.18,2.59,3.325,4.5,-5.93527652538371,2158.200393470372
Nc1ccccc1F,333.15,323.15,313.15,303.19999999999993,293.4200000000001,1.198,1.405,1.7,2.09,2.565,-5.598175043829641,1919.058135036777
OCCF,333.15,323.15,313.15,303.15,293.15,0.889,1.044,1.247,1.54,1.924,-5.967154487819912,1940.348417828105
Cc1ccccc1F,333.15,323.15,313.15,303.15,293.15,0.434,0.481,0.5375,0.6005,0.6795,-4.098867267824343,1088.499827825554
O=Cc1occc1,373.1499999999999,322.84054618598174,300.6292117079661,288.063239632136,273.1545,0.576,1.02885,1.4255,1.7906,2.475,-4.473184709451631,1454.833748820848
