SMILES,Temp,K,lnK,lnA,splits,temp_input,lnA_input,K_target,Train_order,,Temp_max,1073.1
COB(OC)OC,290.45,0.12717791,-2.062168304,-2.891470398,11,3.69461180926149,-2.68333190367081,0.0933993084586879,1130,,,
COB(OC)OC,316.1,0.118860134,-2.12980782,-2.891470398,11,3.39481176842771,-2.68333190367081,-0.13307637104265,376,,,
COB(OC)OC,341.75,0.110208923,-2.205377415,-2.891470398,11,3.14001463057791,-2.68333190367081,-0.386104133353456,891,,,
COC(=O)C1=C(C(=O)OC)C=C(C(=O)OC)C=C1,261.15,0.157584784,-1.847791654,-2.878897921,val,4.10913268236646,-2.64123579713466,0.811191219890618,756,,,
COC(=O)C1=C(C(=O)OC)C=C(C(=O)OC)C=C1,352.5875,0.141140664,-1.957998269,-2.878897921,val,3.04349984046513,-2.64123579713466,0.442189200159025,620,,,
COC(=O)C1=C(C(=O)OC)C=C(C(=O)OC)C=C1,444.025,0.124696544,-2.081872141,-2.878897921,val,2.4167558132988,-2.64123579713466,0.0274254497255983,363,,,
COC(=O)C1=C(C(=O)OC)C=C(C(=O)OC)C=C1,535.4625,0.108252424,-2.22328952,-2.878897921,val,2.00406190909728,-2.64123579713466,-0.446078781178763,641,,,
COC(=O)C1=C(C(=O)OC)C=C(C(=O)OC)C=C1,626.9,0.091808304,-2.388052528,-2.878897921,val,1.71175626096666,-2.64123579713466,-0.997750590797928,819,,,
C=C[Si](OC)(OC)OC,176.15,0.189463169,-1.663560635,-2.779582042,13,6.09196707351689,-2.30869895311292,1.42804727801571,402,,,
C=C[Si](OC)(OC)OC,242.8525,0.167997637,-1.783805365,-2.779582042,13,4.41873153457346,-2.30869895311292,1.02543489188916,112,,,
C=C[Si](OC)(OC)OC,309.555,0.146532105,-1.920510725,-2.779582042,13,3.46658913601783,-2.30869895311292,0.567707794943711,931,,,
C=C[Si](OC)(OC)OC,376.2575,0.125066574,-2.078909092,-2.779582042,13,2.85203617203644,-2.30869895311292,0.0373465516990472,654,,,
