SMILES,T1,T2,T3,T4,T5,K1,K2,K3,K4,K5,Intercept,Coefficients
CC(C)(C)CCCCCC,225.0,276.2625,327.525,378.7875,430.05,0.1154365,0.10579607425,0.0961556485,0.08651522275,0.076874797,-3.103892387772067,241.8341053
CC(C)C(C)CCCCCC,155.45,231.375,307.29999999999995,383.22499999999997,459.15,0.142729032,0.13095762,0.11918620800000002,0.107414796,0.09564338400000001,-2.619468245815519,140.7154966
CN(C)N=O,245.15,289.9,334.65,379.4,424.15,0.1758719,0.1645054,0.1531389,0.1417724,0.13040590000000002,-2.517586946139196,209.82222625
C[Hg]C,230.8,264.6375,298.475,332.3125,366.15,0.07695776,0.07280251500000001,0.06864727000000001,0.06449202500000001,0.060336780000000007,-3.283013301323836,177.49371424
CC1CCC2=C1C=C(C=C2)C,199.3,270.7625,342.225,413.6875,485.15,0.133434938,0.12190517825,0.11037541849999999,0.09884565874999998,0.08731589899999999,-2.814619197911126,198.09920646
CCC(C)C(C)CC,272.04,301.75,331.46000000000004,361.17,390.88,0.11219883200000001,0.10568640000000001,0.099173968,0.09266153600000002,0.08614910400000002,-3.129906880945515,268.56866101
CCC(C)(C)CCC,147.05,206.5675,266.08500000000004,325.6025,385.12,0.135298865,0.12311563275,0.11093240049999999,0.09874916824999999,0.086565936,-2.803858887274969,151.39418381
CC(C)CCC(C)C,182.0,232.065,282.13,332.195,382.26,0.1269556,0.116231677,0.10550775400000001,0.094783831,0.084059908,-2.937895645561174,186.80103365
CC(C)CC(C)CC,272.04,299.675,327.31,354.945,382.58,0.10889702000000001,0.1026929625,0.096488905,0.09028484750000002,0.08408079000000002,-3.185924872239819,274.76174519
CC(C)C(C)CCC,272.04,301.22,330.4,359.58,388.76,0.11106938679999998,0.10461097739999999,0.098152568,0.09169415859999999,0.08523574919999999,-3.153468621865227,272.09974514
CC(C)(C)CCCC,151.97,208.975,265.98,322.985,379.99,0.13302708800000002,0.12107884,0.109130592,0.09718234399999999,0.085234096,-2.842446102743718,157.6253619
CC(C)CCCC(C)C,170.25,229.7775,289.305,348.8325,408.36,0.12651745,0.11495720949999999,0.103396969,0.0918367285,0.080276488,-2.935320882948814,182.78459417
CC(C)C(C)CCCC,156.45,220.7875,285.125,349.4625,413.8,0.131300859,0.11891074324999999,0.10652062749999999,0.09413051174999999,0.08174039599999999,-2.8780654368589,170.95341041
CC(C)(C)CCCCC,160.15,221.5725,282.995,344.4175,405.84,0.1286000055,0.116645344325,0.10469068314999999,0.092736021975,0.08078136080000001,-2.905581333741721,173.17003604
Cc1ccc(C)o1,210.35,249.47,288.59,327.71,366.83,0.155393162,0.1448824004,0.1343716388,0.1238608772,0.1133501156,-2.676126088481061,188.6367446
CC(C)(C)OC(C)COCC(O)C,195.0,270.6,346.2,421.79999999999995,497.4,0.1676771,0.14951646799999999,0.131355836,0.113195204,0.095034572,-2.8254637523089,258.95507438
CC(C)(C)OCC(C)OCC(C)OC(C)(C)C,291.7,364.655,437.61,510.565,583.52,0.09862872,0.08853174800000002,0.07843477600000001,0.06833780400000002,0.058240832000000006,-3.488148937540192,397.27916047
CC(C)C(C)CCCCCCCCC,217.7,293.03749999999997,368.375,443.7125,519.05,0.139746713,0.128121383375,0.11649605375,0.104870724125,0.0932453945,-2.742700489864851,207.47868237
CC(C)C(C)CCCCCCC,183.65,257.725,331.8,405.875,479.95,0.1407820105,0.12928334824999999,0.117784686,0.10628602375,0.0947873615,-2.673001992448679,166.90552708
C1[C@](C)([H])(C[C@]([H])(C)(C1)),139.18,195.60500000000002,252.03,308.455,364.88,0.150390468,0.13755942300000001,0.124728378,0.11189733300000002,0.099066288,-2.645044269630695,133.62273309
C1[C@](C)([H])([C@]([H])(C)(CC1)),155.58,207.94,260.3,312.65999999999997,365.02,0.147413274,0.13538618200000002,0.12335909,0.11133199800000002,0.09930490600000001,-2.679786728181656,145.45933819
C1[C@@](C)([H])(C[C@]([H])(C)(C1)),139.45,195.5675,251.685,307.8025,363.92,0.1497654,0.13697061,0.12417581999999999,0.11138102999999999,0.09858623999999999,-2.652594788734384,134.23587444
C1[C@@](C)([H])([C@]([H])(C)(CC1)),219.26,257.615,295.97,334.325,372.68,0.136586936,0.127519814,0.118452692,0.10938557,0.100318448,-2.814996510551973,197.52673845
C1(C)(C)CCCC1,203.36,242.77,282.18,321.59000000000003,361.0,0.138047888,0.12852249100000002,0.11899709400000001,0.109471697,0.0999463,-2.795410338609105,183.57798706
C1[C@](C)([H])(CC[C@]([H])(C)(C1)),236.21,275.285,314.36,353.435,392.51,0.1263038047,0.11798356495000001,0.1096633252,0.10134308545000001,0.09302284570000001,-2.912387632068409,216.38106388
C1[C@](C)([H])(C[C@]([H])(C)(CC1)),183.05,236.69,290.33000000000004,343.97,397.61,0.140167465,0.128972797,0.11777812899999998,0.10658346099999999,0.095388793,-2.756888560392936,172.006122
C1[C@@](C)([H])(CC[C@]([H])(C)(C1)),185.72,238.6575,291.595,344.5325,397.47,0.13930737999999998,0.12826991124999998,0.11723244249999998,0.10619497374999999,0.09515750499999999,-2.765261466407283,174.04087853
C1[C@@](C)([H])(C[C@]([H])(C)(CC1)),197.58,246.495,295.41,344.32500000000005,393.24,0.13440715079999999,0.1241966337,0.11398611659999999,0.10377559949999998,0.0935650824,-2.813431301898981,183.21794026
C1[C@@](C)([H])([C@]([H])(C)(CCC1)),223.16,268.105,313.05,357.995,402.94,0.133877872,0.12440346599999999,0.11492906,0.105454654,0.095980248,-2.833862139278814,204.49410753
C1CCCCC1(C)(C),239.66,277.92,316.18,354.44,392.7,0.128526018,0.12019681599999998,0.11186761399999999,0.103538412,0.09520921,-2.896131139098249,218.98151522
CCC(C)(C)C(=O)O,259.15,324.9625,390.775,456.5875,522.4,0.15198538749999999,0.13647009062499998,0.12095479375,0.105439496875,0.0899242,-3.042580881825711,349.86497853
C(C#C)(C)(C)C,194.98,223.9525,252.925,281.89750000000004,310.87,0.1448622496,0.1363883728,0.127914496,0.11944061919999997,0.11096674239999998,-2.713669284096883,163.50861798
c1cc(C)cc(c(C)cs2)c21,265.19,333.195,401.20000000000005,469.20500000000004,537.21,0.13526927689999999,0.12421914444999999,0.11316901199999999,0.10211887954999999,0.09106874709999999,-2.867289863728122,266.35954235
c1cccc2c(C)c(C)sc12,282.15,346.11249999999995,410.075,474.0375,538.0,0.13857004750000002,0.12780196062500002,0.11703387375000002,0.106265786875,0.09549770000000002,-2.842926837456941,277.39384531
CC1C2=CC(C)=CC=C2OC=1,257.7,316.175,374.65,433.125,491.6,0.133967922,0.12343423549999999,0.112900549,0.1023668625,0.09183317599999999,-2.888880608297802,257.02892685
c1(N(C)C)ccccc1,275.65,323.40999999999997,371.16999999999996,418.93,466.69,0.145701935,0.13757795900000003,0.12945398300000002,0.12133000700000002,0.11320603100000001,-2.602153902976591,202.87231584
CN(C)CCO,214.15,282.0725,349.995,417.91749999999996,485.84,0.1488954635,0.13793888502499999,0.12698230654999998,0.11602572807499999,0.1050691496,-2.596657373448638,178.27440467
C[Al+1]C.[Cl-],252.15,288.9,325.65,362.4,399.15,0.150165775,0.14129065000000002,0.132415525,0.12354040000000001,0.11466527500000001,-2.696444949222582,216.16778657
C1C2CC3(CC1CC(C2)(C3)C)C,247.59,304.8025,362.015,419.22749999999996,476.44,0.0993279272,0.0917804542,0.0842329812,0.0766855082,0.0691380352,-3.144295129823226,235.09796146
CC#CC,240.91,255.715,270.52,285.325,300.13,0.14388368359999998,0.1387309514,0.13357821920000001,0.128425487,0.1232727548,-2.768692275657558,203.59664442
CC(=O)N(C)C,253.15,299.675,346.2,392.725,439.25,0.18515808699999997,0.16659368149999998,0.148029276,0.12946487049999997,0.11090046499999998,-3.027860804597828,377.01780932
C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,210.15,303.51250000000005,396.875,490.23750000000007,583.6,0.14850825,0.1349706875,0.121433125,0.10789556249999999,0.094358,-2.695314027822002,217.70126434
C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,214.15,303.8625,393.575,483.2875,573.0,0.1344892425,0.12129701937499998,0.10810479625,0.09491257312499998,0.08172035,-2.89128700946903,245.87351803
c1(CCC)c(C)c(C)ccc1,250.0,308.4125,366.825,425.23749999999995,483.65,0.13005,0.1194212615,0.108792523,0.0981637845,0.087535046,-2.947937285024133,259.10384702
CC(C)C(=O)C(C)C,204.81,268.6075,332.405,396.2025,460.0,0.1641832856,0.1465598642,0.1289364428,0.1113130214,0.09368960000000001,-2.933127192511381,280.03592232
C1N(C)C(=O)N(C)C1,281.35,335.555,389.76,443.96500000000003,498.17,0.1448435145,0.13472181485,0.1246001152,0.11447841554999999,0.1043567159,-2.762460675434699,258.56098356
CC(C)=CC=C(C)C,286.8,317.2025,347.605,378.00750000000005,408.41,0.116541816,0.10987211555000001,0.1032024151,0.09653271464999999,0.08986301420000001,-3.095369822368263,283.60461748
C=C(C)CCC(C)=C,198.32,245.6025,292.885,340.1675,387.45,0.1321378688,0.12172815360000001,0.11131843840000001,0.10090872320000001,0.090499008,-2.882983229500721,194.87378362
CC(C)CC(=O)CC(C)C,227.17,293.3775,359.585,425.7925,492.0,0.162790366,0.1455631745,0.128335983,0.11110879149999998,0.09388159999999998,-2.954042236097776,309.62674676
CC(C)CC(O)CC(C)C,208.0,276.225,344.45,412.67499999999995,480.9,0.151286,0.134707325,0.11812865000000002,0.10154997500000001,0.08497130000000001,-3.020981318384271,289.37318339
CC(C)C(CC)C(C)C,150.79,215.56,280.33,345.1,409.87,0.13410308299999998,0.121647812,0.109192541,0.09673726999999999,0.08428199899999998,-2.826397142156542,160.5882617
CC(C)(C)C(CC)CC,173.68,232.0075,290.33500000000004,348.6625,406.99,0.12961713600000002,0.11825493900000002,0.10689274200000001,0.09553054500000001,0.08416834800000002,-2.880781504795636,178.06556701
c1(C)c(C)c(CC)ccc1,223.64,284.5075,345.375,406.2425,467.11,0.1415215028,0.129851377025,0.11818125125000001,0.10651112547500001,0.0948409997,-2.807742618854226,223.2895024
CC1(CO)OC(C)CO1,269.5,311.0,352.5,394.0,435.5,0.152857305,0.14206689,0.13127647499999998,0.12048605999999998,0.10969564499999998,-2.833647676609756,277.99478957
CC(=O)OC1OC(C)OC(C)C1,248.15,300.9,353.65,406.4,459.15,0.18105846319999996,0.16618971519999998,0.1513209672,0.13645221919999997,0.12158347119999999,-2.66807950210732,267.88848637
C=CC(C)(C)C,157.95,197.0625,236.17499999999998,275.28749999999997,314.4,0.14086211999999998,0.13044255,0.12002297999999999,0.10960341,0.09918384,-2.740783553464637,141.70610506
CC(C)=C(C)C,198.92,235.7775,272.635,309.4925,346.35,0.1369445272,0.12764390565,0.1183432841,0.10904266255,0.099742041,-2.808141921806153,179.55439342
C=C(C)C(C)C,115.89,169.10750000000002,222.325,275.5425,328.76,0.153407775,0.13997035624999998,0.1265329375,0.11309551874999998,0.0996581,-2.615343707804304,113.70074609
CC(=O)C(C)(C)C,221.74,280.485,339.23,397.975,456.72,0.16060701579999997,0.14405091244999998,0.1274948091,0.11093870574999999,0.09438260239999999,-2.978691032785315,299.43957369
C=C(C)C(C)=C,197.15,233.345,269.54,305.735,341.93,0.14175292450000002,0.13239398335000002,0.1230350422,0.11367610105,0.10431715990000001,-2.750621510561602,172.68139007
S1C(C)=CC=C1(C),210.58,260.4225,310.265,360.10749999999996,409.95,0.146033714864324,0.13623810982547505,0.12587812723614225,0.11495376709632557,0.10346502940602499,-2.713660461163431,191.95842864
CS(=O)C,291.67,334.7525,377.83500000000004,420.9175,464.0,0.22433938969999997,0.21106610227499997,0.19779281484999994,0.18451952742499997,0.17124623999999997,-2.289562236464197,248.64813778
CSC,174.88,208.78,242.68,276.58000000000004,310.48,0.181517232,0.170292942,0.15906865199999998,0.14784436199999998,0.13662007199999998,-2.422478260867011,138.38448853
COS(=O)(=O)OC,241.15,296.4,351.65,406.9,462.15,0.1428585545,0.132738412,0.1226182695,0.112498127,0.1023779845,-2.7163561700887,210.67222826
COC(=O)CC(=O)OC,211.15,271.4875,331.825,392.1625,452.5,0.1637566395,0.14871631087499998,0.13367598225,0.11863565362499999,0.103595325,-2.763842540320652,239.01268042
CCCC(C)(C)C(=O)O,230.0,304.9,379.8,454.70000000000005,529.6,0.1565827,0.139467301,0.122351902,0.10523650299999998,0.08812110399999999,-2.986186420000229,319.33150087
COC(=O)CCCC(=O)OC,230.65,294.1625,357.675,421.1875,484.7,0.1661803915,0.151630312875,0.13708023425,0.122530155625,0.107980077,-2.708483505941809,247.84220543
O1C(C)CCC1C,228.15,262.15,296.15,330.15,364.15,0.1364583795,0.1279219995,0.1193856195,0.1108492395,0.1023128595,-2.835697092368175,206.82446624
COC(=O)/C=CC(=O)OC,254.15,324.3625,394.575,464.7875,535.0,0.157083674,0.1409039055,0.12472413700000001,0.1085443685,0.0923646,-2.97695364165066,338.64610205
C=C(C)C(C)CCC,172.0,224.9125,277.825,330.73749999999995,383.65,0.13406612,0.12256876287500001,0.11107140575000002,0.09957404862500002,0.08807669150000001,-2.85587827743735,174.79586029
CN(C)C=O,250.0,293.7875,337.575,381.36249999999995,425.15,0.19625,0.1850841875,0.17391837500000001,0.16275256250000003,0.15158675,-2.31602098457304,187.4577834
CSSC,188.44,237.055,285.66999999999996,334.28499999999997,382.9,0.167618732,0.1557226415,0.14382655100000002,0.1319304605,0.12003437000000002,-2.514314763593791,158.60702988
c1(C(=O)OC)c(C(=O)OC)cccc1,274.18,344.835,415.49,486.145,556.8,0.1534105776,0.1419870772,0.1305635768,0.1191400764,0.107716576,-2.646681705290326,244.88823459
CC(OC)COC,226.1,261.1125,296.125,331.1375,366.15,0.16130890799999997,0.15067491149999998,0.140040915,0.1294069185,0.118772922,-2.701884222106762,214.06137427
COCCOC,215.15,266.575,318.0,369.425,420.85,0.16688927,0.150525835,0.13416240000000001,0.117798965,0.10143553,-2.922544550277438,280.55319424
