smiles,T1,T2,T3,T4,T5,Viscosity_1,Viscosity_2,Viscosity_3,Viscosity_4,Viscosity_5,Ln(A),Ea/R,,smiles,Temp,Eta,lnEta,lnA
CCCC(C)C,328.58,316.3603211,301.8554414,285.8830521,273.76,0.2151,0.24025,0.27555,0.32315,0.3688,-4.222213218,884.3009943,,Clc1cccc(Cl)c1,445.45,0.2948,-1.221458119,-3.732626125
CC(C)C(O)=O,420.62,388.4444285,352.2060138,308.9390656,276.84,0.323,0.4285,0.617,1.041,1.761,-4.328441535,1350.187011,,Clc1cccc(Cl)c1,412.6453295,0.36065,-1.01984732,-3.732626125
CCC(C)CO,396.15,367.8279084,343.65,321.9691848,292.45,0.414,0.6785,1.149,2.051,5.505,-8.122910822,2848.219919,,Clc1cccc(Cl)c1,390.2284497,0.4218,-0.863224011,-3.732626125
CCCCCC(C)CO,372.82,342.8585823,308.0688707,288.0632396,273.25,0.6531,1.13435,2.52765,4.744,8.3101,-7.373951066,2570.793614,,Clc1cccc(Cl)c1,357.7609986,0.54975,-0.59829165,-3.732626125
CC(C)CO,378.22,334.2979469,305.6295518,295.6288601,273.6,0.4753,1.2134,2.673,3.67895,7.9111,-8.123687648,2782.150517,,Clc1cccc(Cl)c1,303.75,0.951,-0.050241216,-3.732626125
CCC(C)(C)S,333.15,318.0714207,308.0688707,298.0661496,283.15,0.399,0.4835,0.545,0.62,0.772,-4.626120782,1237.237116,,Fc1cccc(F)c1,333.15,0.3786,-0.97127504,-3.956667562
CC=C(C)C,305.74,301.3497561,291.059777,280.9649255,273.35,0.1903,0.1973,0.2153,0.2356,0.2529,-4.067112656,736.4105667,,Fc1cccc(F)c1,323.15,0.4156,-0.87803202,-3.956667562
CCCCC(C)(C)O,407.05,389.5121599,356.2921939,325.6773746,305.65,0.3321,0.416,0.7625,1.6285,3.016,-7.779918397,2691.461549,,Fc1cccc(F)c1,315.15,0.461,-0.774357236,-3.956667562
CC(C)(C)O,350.2,330.6273961,313.15,304.1477439,298.15179,0.6447,1.0327,2.06375,3.16035,4.4126,-10.93480277,3662.371507,,Fc1cccc(F)c1,303.15,0.5122,-0.669040105,-3.956667562
CCCCC(O)C(C)C,373.52,342.8585823,308.0688707,288.0632396,273.21,0.6108,1.2643,4.31985,12.8771,33.957,-11.4262326,4015.683514,,Fc1cccc(F)c1,293.15,0.5743,-0.554603371,-3.956667562
CCCC(O)CC(C)C,373.54,342.8585823,308.0688707,288.0632396,273.37,0.6208,1.34705,4.6634,13.04165,29.0875,-11.81615009,4127.701743,,COc1cccc(OC)c1,485.15,0.2622,-1.338647708,-4.578932018
CCC(O)CCC(C)C,373.15,342.8585823,308.0688707,288.0632396,273.44,0.4117,0.6301,1.1485,1.7968,2.6162,-5.954714134,1882.410993,,COc1cccc(OC)c1,458.144342,0.3155,-1.153596597,-4.578932018
CCc1cccc(C)c1N,372,318,311,303,293,0.87,2.045,2.39,2.95,3.87,-5.605798124,2023.9981,,COc1cccc(OC)c1,422.756448,0.41935,-0.869049386,-4.578932018
CC(C)CCCCCO,373.57,342.8585823,308.0688707,288.0632396,273.37,1.0409,2.10695,5.65285,11.98765,22.5596,-8.348383181,3115.251451,,COc1cccc(OC)c1,363.0164258,0.77035,-0.260910322,-4.578932018
Oc1ccccc1[N+]([O-])=O,488.15,387.57248,336.6433165,321.6430048,303.1553,0.374,0.887,1.7855,2.3995,3.721,-4.708221343,1795.600035,,COc1cccc(OC)c1,313.65,1.623,0.484276289,-4.578932018
COc1ccccc1[N+]([O-])=O,538.15,490.0194277,425.6847252,387.7261926,286.4,0.2981,0.4072,0.6837,1.0117,7.49,-4.386634834,1707.056379,,[O-][N+](=O)c1cccc(c1)[N+]([O-])=O,500.15,0.6573,-0.419614744,-4.956622678
Oc1cccc(O)c1[N+]([O-])=O,505.15,448.3385314,427.9961745,402.5730156,369.85,0.4415,0.733,0.90925,1.2685,2.131,-5.359705983,2257.460522,,[O-][N+](=O)c1cccc(c1)[N+]([O-])=O,472.073753,0.8046,-0.217410019,-4.956622678
Cc1ccccc1[N+]([O-])=O,494.65,433.65,373.75,303.15,273.1539,0.2944,0.4404,0.7417,1.944,3.8344,-4.3137453,1513.224831,,[O-][N+](=O)c1cccc(c1)[N+]([O-])=O,451.15,0.951,-0.050241216,-4.956622678
CCCCCCCC(C)S,393.15,353.15,313.15,293.15,273.15,0.435,0.6445,1.0689,1.4817,2.2336,-4.542379552,1450.271883,,[O-][N+](=O)c1cccc(c1)[N+]([O-])=O,417.5754454,1.3895,0.32894397,-4.956622678
CCCCCCC(C)S,373.15,342.8585823,312.8306642,288.0632396,273.15,0.4471,0.6032,0.9222,1.25875,1.6559,-4.317331608,1315.129441,,[O-][N+](=O)c1cccc(c1)[N+]([O-])=O,373.15,3.59,1.278152203,-4.956622678
CCCC(C)S,373.15,342.8585823,308.0688707,288.0632396,273.17,0.2597,0.33355,0.46585,0.57995,0.701,-4.05342354,1011.178991,,Clc1ccc(Cl)cc1,445.45,0.3042,-1.190069899,-3.778181704
CCCC(C)O,386.45,367.2220732,340.2455861,314.7365058,298.55,0.3742,0.515,0.9325,1.969,3.39,-8.818204609,2982.503626,,Clc1ccc(Cl)cc1,423.15,0.3479,-1.055840197,-3.778181704
CCCC(C)=O,371.92,340.5590861,320.7777116,302.0308838,273.534,0.24,0.311,0.37005,0.4486,0.6404,-4.12312372,1002.667596,,Clc1ccc(Cl)cc1,403.15,0.3981,-0.921052049,-3.778181704
Cc1ccccn1,353.15,333.15,313.15,293.15,273.5,0.4165,0.5054,0.6296,0.8102,1.097,-4.195182459,1169.975032,,Clc1ccc(Cl)cc1,374.45,0.4953,-0.702591639,-3.778181704
CC(C)S,313.15,303.15,293.15,283.15,272.97,0.307,0.3392,0.3768,0.4217,0.4779,-4.183507852,940.3891778,,Clc1ccc(Cl)cc1,333.85,0.722,-0.32573014,-3.778181704
CC(C)O,351.24,321.6738553,303.4257776,296.7534894,273.51,0.5407,1.0687,1.72925,2.1177,4.5018,-8.053855,2611.744692,,Fc1ccc(F)cc1,333.15,0.4135,-0.883097765,-3.992091701
