smiles,T1,T2,T3,T4,T5,Viscosity_1,Viscosity_2,Viscosity_3,Viscosity_4,Viscosity_5,Intercept (A),Coefficient (B),,smiles,Temp
c1(ccccc1)CCC(CCCC1CCCC1)CCCC1CCCC1,273.15,298.15,310.928,333.15,372.039,8.49305879532084,4.9847405958081,3.50964085882439,2.52564579209796,1.70318424802343,-4.04525538496394,1676.20582116198,,C1CCC(CC1)CCC(CCCCCCCC)CCC1CCCCC1,
C1(CCCCC1)CCC(CCCC1CCCC1)CCCC1CCCC1,273.15,298.15,310.928,333.15,372.039,13.5732093109752,7.21238227741918,4.7240581895373,3.17894427072099,1.97239027618275,-4.81657544534357,2013.42785461034,,C1CCC(CC1)CCC(CCCCCCCC)CCC1CCCCC1,
c1ccc(cc1)CC[C@H](CCC1CCCCC1)CCCC1CCCC1,273.15,298.15,310.928,333.15,372.039,12.4346077501479,6.53818264687428,4.30074765874043,2.93373470704983,1.86169593365122,-4.79248669632431,1979.62860105826,,C1CCC(CC1)CCC(CCCCCCCC)CCC1CCCCC1,
C1[C@H]2[C@@H]([C@@H](CC1)CCCCCCCCCC[C@@H]1CCC[C@@H]3[C@@H]1CCCC3)CCCC2,273.15,298.15,310.928,333.15,372.039,28.5663894133429,15.3770485118844,8.75543310586271,5.246858053173,2.88947644158095,-5.53474327418273,2427.47702860947,,C1CCC(CC1)CCC(CCCCCCCC)CCC1CCCCC1,
CCCCCCCCCCCCC(CCCCCCCCCCCC)CCCCCCCCCCC,273.15,298.15,310.928,333.15,372.039,6.96827447953616,4.75495954942235,3.50116435436932,2.58148304128075,1.77746438322494,-3.32484236683437,1438.46528793633,,C1CCC(CC1)CCC(CCCCCCCC)CCC1CCCCC1,
CCCCCCCCCCCCC(CCCCCCCCCCCCC)CCCCCCCCCCCC,273.15,298.15,310.928,333.15,372.039,7.49081413765028,5.09149074137513,3.72680215344916,2.73122753755285,1.87745856562319,-3.3251367438009,1458.29713539675,,C(CCCCCCCCCCCCC)(CC(CC)CC)CC(CC)CC,
[C@H]1(CC[C@@H](CC1)[C@@H](CCCCCCCCCCC)[C@H]1CCC[C@H](C1)C)C,273.15,298.15,310.928,333.15,372.039,16.8637504129201,8.15510185449904,5.02684118573424,3.21905023343531,1.9205912245324,-5.55326005949578,2269.15633129195,,C(CCCCCCCCCCCCC)(CC(CC)CC)CC(CC)CC,
C1[C@H]2[C@@H]([C@H]3[C@@H]([C@@H]1CCCCCCCCCCCC)CCCC3)CCCC2,273.15,298.15,310.928,333.15,372.039,12.5279938393308,7.64019980624978,4.91661763399879,3.2835609328425,2.03233449439081,-4.51646216388702,1924.1854968368,,C(CCCCCCCCCCCCC)(CC(CC)CC)CC(CC)CC,
C1[C@H]2[C@@H]([C@H]3[C@@H](C1)C[C@H](CC3)CCCCCCCCCCCC)CCCC2,273.15,298.15,310.928,333.15,372.039,10.3808326390021,6.62400649560302,4.5594221679858,3.18471400962225,2.05186828107644,-3.91695459373884,1709.07655251705,,C(CCCCCCCCCCCCC)(CC(CC)CC)CC(CC)CC,
[C@H]1(CC[C@@H](CC1)[C@@H](CCCCCCC)CCCCCCCCCCC)C,273.15,298.15,310.928,333.15,372.039,7.25066669917772,4.45246578183863,3.18855295013874,2.31632194166705,1.56604250437404,-3.91417592217157,1601.27916003522,,C(CCCCCCCCCCCCC)(CC(CC)CC)CC(CC)CC,
CCCCCCCCC(CCCCCCCC)CCCCCC,273.15,298.15,310.928,333.15,372.039,3.94973098768082,2.74642469980033,2.1343339311577,1.67021286098285,1.22110376758364,-3.13292430322579,1226.0387434814,,CCCCCCCCC(CCCCCCCC)CCCCCCCC,
