,T1,T2,T3,T4,T5
150,258.27,304.275,350.28,396.285,442.29
151,257.85,313.0375,368.225,423.4125,478.6
152,292.35,348.425,404.5,460.575,516.65
153,293.6,351.775,409.95,468.125,526.3
154,242.54,286.4825,330.425,374.3675,418.31
155,246.15,307.5875,369.025,430.4625,491.9
156,249.35,313.67499999999995,378.0,442.32499999999993,506.65
157,257.0,329.75,402.5,475.25,548.0
158,256.0,327.6,399.2,470.79999999999995,542.4
159,269.6,337.6,405.6,473.6,541.6
160,243.15,322.225,401.3,480.37500000000006,559.45
161,243.09,294.105,345.12,396.135,447.15
162,249.65,304.2,358.75,413.3,467.85
163,234.81,289.895,344.98,400.065,455.15
164,238.0,297.75,357.5,417.25,477.0
165,258.7,318.8125,378.92499999999995,439.03749999999997,499.15
166,251.3,305.6875,360.07500000000005,414.46250000000003,468.85
167,243.63,293.51,343.39,393.27,443.15
168,277.0,339.75,402.5,465.25,528.0
169,213.27,257.4375,301.605,345.77250000000004,389.94
170,171.95,225.21249999999998,278.475,331.7375,385.0
171,272.95,300.4625,327.975,355.4875,383.0
172,163.83,205.19,246.55,287.90999999999997,329.27
173,167.45,203.92,240.39,276.86,313.33
174,248.79,331.38,413.96999999999997,496.56,579.15
175,212.0,278.2875,344.575,410.86249999999995,477.15
176,198.15,268.265,338.38,408.495,478.61
177,218.15,276.2125,334.275,392.3375,450.4
178,199.95,264.5,329.04999999999995,393.59999999999997,458.15
179,202.35,269.11249999999995,335.875,402.63749999999993,469.4
180,230.0,302.375,374.75,447.125,519.5
181,213.99,275.655,337.32,398.985,460.65
182,132.89,177.04,221.19,265.34000000000003,309.49
183,121.75,168.83249999999998,215.915,262.9975,310.08
184,108.016,156.817,205.61800000000002,254.41900000000004,303.22
185,181.72,215.2025,248.685,282.1675,315.65
186,249.75,270.4125,291.075,311.73749999999995,332.4
187,204.15,265.0325,325.915,386.7975,447.68
188,200.0,248.05,296.1,344.15,392.2
189,273.15,293.15,313.15,333.15,353.15
190,239.15,294.025,348.9,403.775,458.65
191,197.45,248.035,298.62,349.20500000000004,399.79
192,176.92,236.36749999999998,295.815,355.2625,414.71
193,160.75,216.85,272.95,329.04999999999995,385.15
194,249.95,290.0,330.04999999999995,370.09999999999997,410.15
195,243.6,306.2375,368.875,431.5125,494.15
196,244.21,322.945,401.68,480.41499999999996,559.15
197,288.65,329.275,369.9,410.525,451.15
198,191.59,237.48,283.37,329.26,375.15
199,218.3,277.1375,335.975,394.8125,453.65
200,191.15,217.9575,244.765,271.5725,298.38
201,238.14,273.34499999999997,308.54999999999995,343.755,378.96
202,147.5,190.975,234.45,277.92499999999995,321.4
