T1_true,T1_pred,T2_true,T2_pred,T3_true,T3_pred,T4_true,T4_pred,T5_true,T5_pred
-1.535419298,-1.5038065755105,-1.595766185,-1.56231010658067,-1.659990034,-1.60824453299274,-1.728623401,-1.535419298,-1.802316721,-1.6757431184465
-1.770901517,-1.76031411432119,-1.85058191,-1.93923363692338,-1.937165267,-2.05179765456499,-2.031962065,-1.770901517,-2.136695471,-2.18556811982579
-1.663646758,-1.9001082715947,-1.772040661,-2.01619036621232,-1.893628416,-2.09239270646182,-2.032072957,-1.663646758,-2.192812279,-2.18634258988361
-1.672458906,-1.8366226856125,-1.789194597,-1.98774120743687,-1.921381015,-2.07772397310747,-2.073741204,-1.672458906,-2.253561448,-2.17993593731929
-1.810400387,-1.7037007155811,-1.931067443,-1.92852227794577,-2.068319126,-2.05757002124926,-2.227451821,-1.810400387,-2.416790162,-2.20001141489989
-1.700175922,-1.72260282617908,-1.774772394,-1.90915055632756,-1.860751293,-2.03021577642403,-1.960752557,-1.700175922,-2.078543993,-2.17798075080973
-2.048458007,-2.11143587289114,-2.125581398,-2.22482487491572,-2.209153625,-2.3073540693681,-2.300352376,-2.048458007,-2.400710661,-2.41944474766697
-1.85358197,-1.82437244086751,-1.938373358,-1.96003194638349,-2.03102604,-2.05206815108363,-2.133148065,-1.85358197,-2.246897679,-2.16895723140619
-1.971443465,-1.83242376380438,-2.121351925,-2.13015320413478,-2.287696108,-2.2719957771144,-2.470878225,-1.971443465,-2.666506361,-2.40944694891569
-2.049961737,-2.07065220573757,-2.16077997,-2.21861440540544,-2.28542731,-2.31365855487323,-2.427854042,-2.049961737,-2.593989616,-2.42863382242137
-1.898658287,-1.9036664691124,-1.978691792,-2.04151640848123,-2.065692293,-2.12951624981793,-2.160989422,-1.898658287,-2.266333987,-2.23540211294182
-1.813686111,-1.84744066370998,-1.899318697,-1.98110655008704,-1.992976833,-2.0713908315114,-2.096321884,-1.813686111,-2.211591288,-2.18559270264632
-2.027682186,-1.93910291840771,-2.117751268,-2.14823044364617,-2.216743078,-2.2739193877141,-2.326621849,-2.027682186,-2.450081564,-2.41775958495924
-1.731574426,-1.67510016435951,-1.821761166,-1.85702963638734,-1.920895139,-1.96850422616678,-2.030949124,-1.731574426,-2.154630144,-2.09809668788291
-1.763742219,-1.75566847906032,-1.838388654,-1.87631087830728,-1.919059934,-1.96048702630735,-2.006814679,-1.763742219,-2.10301763,-2.07022563836406
-1.783585095,-1.78661456158055,-1.863440963,-1.9052509891438,-1.950231575,-1.98837496930668,-2.045276901,-1.783585095,-2.150313802,-2.0971735545899
-1.917076464,-1.89431510352436,-2.021079996,-2.07802068199527,-2.137169388,-2.20115667199752,-2.268527445,-1.917076464,-2.419787672,-2.35583219179749
-1.934728347,-1.91198778594109,-2.045456086,-2.19966288383654,-2.169988916,-2.36184115590987,-2.312266103,-1.934728347,-2.478198112,-2.53841759726124
-1.880304959,-1.87570937388313,-1.941011018,-2.01266224436322,-1.991535365,-2.10770720478635,-2.03008393,-1.880304959,-2.055138434,-2.23098766824785
-1.830735436,-1.78917634899902,-1.894394111,-1.89672168408033,-1.946319182,-1.97142671354028,-1.98439696,-1.830735436,-2.006907101,-2.06840969102541
-1.843072051,-1.8306697334401,-1.946772619,-2.12212948021631,-2.062484587,-2.29382728001287,-2.193359466,-1.843072051,-2.343979069,-2.48721064523074
-1.753113152,-1.65511539081048,-1.854112269,-1.89493620441059,-1.96647017,-2.04212442778924,-2.09306936,-1.753113152,-2.238051228,-2.21346626189986
-2.371766782,-1.96149214764808,-2.447157861,-2.09797529391569,-2.528699611,-2.18920705189679,-2.617485485,-2.371766782,-2.714929225,-2.30352093114516
-2.29613802,-1.74786475039878,-2.383699247,-2.06084589039664,-2.479669647,-2.22939262329001,-2.58583769,-2.29613802,-2.704631053,-2.40682429509625
