smiles,temperature,conductivity,splits
c1(Cl)c(Cl)cc(Cl)cc1,0.002287544,-2.340072341,val
c1(Cl)c(Cl)cc(Cl)cc1,0.002056978,-2.398105295,val
ClC(Cl)(Cl)C(=O)Cl,0.004625347,-2.050840324,train
ClC(Cl)(Cl)C(=O)Cl,0.003847079,-2.121478107,train
ClC(Cl)(Cl)C(=O)Cl,0.003292994,-2.197487422,train
ClC(Cl)(Cl)C(=O)Cl,0.002878423,-2.279753039,train
ClC(Cl)(Cl)C(=O)Cl,0.002556564,-2.369397771,train
C[Ge](Cl)(Cl)Cl,0.004672897,-2.19518933,train
C[Ge](Cl)(Cl)Cl,0.003898066,-2.264873017,train
C[Ge](Cl)(Cl)Cl,0.003343643,-2.339778574,train
C[Ge](Cl)(Cl)Cl,0.002927293,-2.420752715,train
C[Ge](Cl)(Cl)Cl,0.00260315,-2.508865996,train
C(Cl)(Cl)(Cl)C=O,0.00462963,-1.945794956,val
C(Cl)(Cl)(Cl)C=O,0.003925995,-2.014601441,val
C(Cl)(Cl)(Cl)C=O,0.003408026,-2.088494315,val
C(Cl)(Cl)(Cl)C=O,0.003010801,-2.16828622,val
C(Cl)(Cl)(Cl)C=O,0.002696508,-2.255001275,val
CCCCN(CCCC)CCCC,0.004926108,-2.011871121,val
CCCCN(CCCC)CCCC,0.003649136,-2.089489211,val
CCCCN(CCCC)CCCC,0.002897921,-2.173642689,val
CCCCN(CCCC)CCCC,0.002403196,-2.265534232,val
CCCCN(CCCC)CCCC,0.002052756,-2.366732117,val
C=CCN(CC=C)CC=C,0.005,-2.172381732,train
C=CCN(CC=C)CC=C,0.003907586,-2.265598123,train
C=CCN(CC=C)CC=C,0.003206927,-2.368405609,train
C=CCN(CC=C)CC=C,0.002719331,-2.483006376,train
C=CCN(CC=C)CC=C,0.002360439,-2.612461242,train
CCCCCN(CCCCC)CCCCC,0.003861004,-2.100291806,train
CCCCCN(CCCCC)CCCCC,0.003093222,-2.206979502,train
CCCCCN(CCCCC)CCCCC,0.002580146,-2.326423995,train
CCCCCN(CCCCC)CCCCC,0.002213063,-2.462095611,train
CCCCCN(CCCCC)CCCCC,0.001937421,-2.619107066,train
c1(C)c(N)cccc1,0.004008498,-1.736514695,train
c1(C)c(N)cccc1,0.00327359,-1.816550647,train
c1(C)c(N)cccc1,0.002766405,-1.903554039,train
c1(C)c(N)cccc1,0.002395296,-1.998854637,train
c1(C)c(N)cccc1,0.002111977,-2.104203443,train
c1(C)cc(N)ccc1,0.00413394,-1.758272896,test
c1(C)cc(N)ccc1,0.003327178,-1.838839945,test
c1(C)cc(N)ccc1,0.002783887,-1.926471353,test
c1(C)cc(N)ccc1,0.002393117,-2.022526153,test
c1(C)cc(N)ccc1,0.002098548,-2.12879743,test
c1(CS)ccccc1,0.004099201,-1.867013242,train
c1(CS)ccccc1,0.00332259,-1.943297615,train
c1(CS)ccccc1,0.002793374,-2.025885382,train
c1(CS)ccccc1,0.00240958,-2.11591293,train
c1(CS)ccccc1,0.002118509,-2.214854566,train
c1(C)c(N=C=O)cccc1(N=C=O),0.00343112,-2.065559465,val
