smiles,Conductivity,temperature,splits,Conductivity_original,temperature,,mean,-2.099614069
[Si](OCC)(OCC)(OCC)CCCS,1.68333567,1.452027145,train,-1.661523415,0.004761905,,,
[Si](OCC)(OCC)(OCC)CCCS,1.257381938,0.303402722,train,-1.772378518,0.003543586,,,
[Si](OCC)(OCC)(OCC)CCCS,0.778694191,-0.377215694,train,-1.896957728,0.00282167,,,
[Si](OCC)(OCC)(OCC)CCCS,0.232278834,-0.827450967,train,-2.039163151,0.002344116,,,
[Si](OCC)(OCC)(OCC)CCCS,-0.404329063,-1.147344904,train,-2.204841319,0.002004812,,,
c1ccccc1(CCCCCCCCCCCCC),0.260722135,0.292193839,train,-2.031760739,0.003531697,,,
c1ccccc1(CCCCCCCCCCCCC),-0.160658859,-0.461318618,train,-2.14142578,0.002732464,,,
c1ccccc1(CCCCCCCCCCCCC),-0.634008193,-0.936722733,train,-2.26461566,0.002228214,,,
c1ccccc1(CCCCCCCCCCCCC),-1.173971568,-1.264000636,train,-2.405141945,0.001881078,,,
c1ccccc1(CCCCCCCCCCCCC),-1.802417368,-1.503049004,train,-2.568695915,0.001627525,,,
CCCCCCCCCCCCC=O,0.675433527,-0.125633817,train,-1.923831472,0.003088517,,,
CCCCCCCCCCCCC=O,0.3432315,-0.542463996,train,-2.010287552,0.002646395,,,
CCCCCCCCCCCCC=O,-0.020432973,-0.854899486,train,-2.104931781,0.002315002,,,
CCCCCCCCCCCCC=O,-0.422148905,-1.097793512,train,-2.20947896,0.00205737,,,
CCCCCCCCCCCCC=O,-0.870819854,-1.292039344,train,-2.326246253,0.001851338,,,
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,-1.865194241,2.195915556,train,-2.585033691,0.00555093,,,
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,-2.287333589,1.071238113,train,-2.694896095,0.004358011,,,
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,-2.761640335,0.344448223,train,-2.818335143,0.003587122,,,
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,-3.302850381,-0.163864133,train,-2.959185876,0.003047967,,,
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,-3.932986543,-0.539339575,train,-3.123179765,0.002649709,,,
P(=O)(Oc1c(C)cccc1)(Oc1c(C)cccc1)Oc1c(C)cccc1,0.445597595,0.800487338,train,-1.983646621,0.004070832,,,
P(=O)(Oc1c(C)cccc1)(Oc1c(C)cccc1)Oc1c(C)cccc1,0.103030214,-0.381898555,train,-2.0728003,0.002816703,,,
P(=O)(Oc1c(C)cccc1)(Oc1c(C)cccc1)Oc1c(C)cccc1,-0.273094455,-1.007336153,train,-2.170687314,0.002153316,,,
P(=O)(Oc1c(C)cccc1)(Oc1c(C)cccc1)Oc1c(C)cccc1,-0.690071952,-1.39432783,train,-2.279206338,0.001742843,,,
P(=O)(Oc1c(C)cccc1)(Oc1c(C)cccc1)Oc1c(C)cccc1,-1.157870397,-1.65740143,train,-2.400951591,0.001463807,,,
ClC(Cl)(F)C(F)(F)Cl,-1.311521885,0.941908395,train,-2.440939623,0.004220834,,,
ClC(Cl)(F)C(F)(F)Cl,-1.872991944,0.183665938,train,-2.587063055,0.003416584,,,
ClC(Cl)(F)C(F)(F)Cl,-2.530780916,-0.33186728,train,-2.75825363,0.00286977,,,
ClC(Cl)(F)C(F)(F)Cl,-3.324920378,-0.70514884,train,-2.964929626,0.002473839,,,
ClC(Cl)(F)C(F)(F)Cl,-4.327123207,-0.987917416,train,-3.225754428,0.002173913,,,
ClC(Cl)(Cl)C(F)(F)F,-1.711537205,0.241586517,train,-2.545044215,0.003478019,,,
ClC(Cl)(Cl)C(F)(F)F,-1.980709685,-0.018160903,train,-2.61509676,0.003202511,,,
ClC(Cl)(Cl)C(F)(F)F,-2.270168402,-0.239777944,train,-2.690428829,0.002967447,,,
ClC(Cl)(Cl)C(F)(F)F,-2.583222172,-0.431086028,train,-2.771901546,0.002764531,,,
ClC(Cl)(Cl)C(F)(F)F,-2.924061805,-0.597905025,train,-2.860605576,0.00258759,,,
C(Cl)C(Cl)C(Cl),-0.214562488,0.610408659,train,-2.155454281,0.00386922,,,
C(Cl)C(Cl)C(Cl),-0.621282903,-0.116228499,train,-2.261303884,0.003098493,,,
C(Cl)C(Cl)C(Cl),-1.076207183,-0.601466903,train,-2.379698616,0.002583812,,,
C(Cl)C(Cl)C(Cl),-1.592317187,-0.948464295,train,-2.514017025,0.00221576,,,
C(Cl)C(Cl)C(Cl),-2.188667227,-1.208932011,train,-2.669218025,0.001939488,,,
C(Cl)=C(Cl)Cl,0.699805259,1.966746732,val,-1.917488692,0.005307856,,,
C(Cl)=C(Cl)Cl,0.358526958,1.038156398,val,-2.006306886,0.004322922,,,
C(Cl)=C(Cl)Cl,-0.016044076,0.400248456,val,-2.103789564,0.003646308,,,
C(Cl)=C(Cl)Cl,-0.431112619,-0.064996105,val,-2.21181178,0.003152834,,,
C(Cl)=C(Cl)Cl,-0.896509169,-0.419324667,val,-2.332931936,0.002777006,,,
C(Cl)(Cl)CCl,0.731477636,0.948975583,train,-1.909245908,0.00422833,,,
C(Cl)(Cl)CCl,0.311548099,0.127597008,train,-2.018533205,0.003357113,,,
C(Cl)(Cl)CCl,-0.159969991,-0.413129564,train,-2.141246501,0.002783577,,,
C(Cl)(Cl)CCl,-0.697550832,-0.796056854,train,-2.281152728,0.002377415,,,
C(Cl)(Cl)CCl,-1.322769762,-1.081465255,train,-2.4438669,0.002074689,,,
C(Cl)(Cl)(Cl)C,-0.33934199,0.840746548,train,-2.187928335,0.004113534,,,
C(Cl)(Cl)(Cl)C,-0.773064145,0.072907386,train,-2.300805182,0.003299105,,,
