smiles,lnA,Viscosity,temperature,splits,Viscosity_unnormed,lnA_unnormed,temperature_unnormed
C[C@H]1CCC[C@@H](C)C1,-3.85774328,0.143748405,2.46805842724807,val,0.184818437,-4.91295709,0.003660992
C[C@H]1CCC[C@@H](C)C1,-3.85774328,-0.094563534,2.33958090779715,val,-0.118783536,-4.91295709,0.003470415
C[C@H]1CCC[C@@H](C)C1,-3.85774328,-0.114255409,2.29967661015715,val,-0.14387037,-4.91295709,0.003411223
C[C@H]1CCC[C@@H](C)C1,-3.85774328,-0.257005978,2.22381718664994,val,-0.32573014,-4.91295709,0.003298697
C[C@H]1CCC[C@@H](C)C1,-3.85774328,-0.334651356,2.1528028805089,val,-0.424647928,-4.91295709,0.003193358
C[C@H]1CCCC[C@H]1C,-4.018983284,0.37492873,2.46805842724807,val,0.479334957,-5.118371824,0.003660992
C[C@H]1CCCC[C@H]1C,-4.018983284,0.133899485,2.33958090779715,val,0.172271221,-5.118371824,0.003470415
C[C@H]1CCCC[C@H]1C,-4.018983284,0.08341624,2.29967661015715,val,0.107957142,-5.118371824,0.003411223
C[C@H]1CCCC[C@H]1C,-4.018983284,-0.062520367,2.22381718664994,val,-0.077961541,-5.118371824,0.003298697
C[C@H]1CCCC[C@H]1C,-4.018983284,-0.159015196,2.1528028805089,val,-0.200892942,-5.118371824,0.003193358
C[N+]1=CC(=O)O[N-]1,-3.443773054,1.336957741,2.1528028805089,val,1.704929894,-4.385571942,0.003193358
C[N+]1=CC(=O)O[N-]1,-3.443773054,1.15574952,2.08618335941171,val,1.474076275,-4.385571942,0.003094538
C[N+]1=CC(=O)O[N-]1,-3.443773054,0.992279215,2.02356357135104,val,1.265820208,-4.385571942,0.003001651
C[N+]1=CC(=O)O[N-]1,-3.443773054,0.787288035,1.9363784247672,val,1.004667842,-4.385571942,0.002872325
C[N+]1=CC(=O)O[N-]1,-3.443773054,0.498355515,1.80664631182547,val,0.636576829,-4.385571942,0.002679887
C#N,-3.503427529,-1.136395044,2.46805842724807,val,-1.446044366,-4.461569881,0.003660992
C#N,-3.503427529,-1.179909772,2.4236926036961,val,-1.501480771,-4.461569881,0.003595182
C#N,-3.503427529,-1.259175079,2.33958090779715,val,-1.602462299,-4.461569881,0.003470415
C#N,-3.503427529,-1.282513642,2.3154739713985,val,-1.6321949,-4.461569881,0.003434656
C#N,-3.503427529,-1.31113473,2.28409362867403,val,-1.668657272,-4.461569881,0.003388108
C=C,-3.054104509,-0.636547443,5.69383604263056,val,-0.809254122,-3.889146376,0.008445946
C=C,-3.054104509,-0.879144437,5.11999805844747,val,-1.118315121,-3.889146376,0.007594744
C=C,-3.054104509,-1.092293765,4.61493822424797,val,-1.389860713,-3.889146376,0.006845564
C=C,-3.054104509,-1.202243945,4.35694566821429,val,-1.529933811,-3.889146376,0.006462871
C=C,-3.054104509,-1.26992743,4.20031294051501,val,-1.616160458,-3.889146376,0.00623053
C=CC(=C)C,-3.239605818,-1.098970718,2.42369327784628,val,-1.398366942,-4.125469255,0.003595183
C=CC(=C)C,-3.239605818,-1.134730253,2.3808941793199,val,-1.443923474,-4.125469255,0.003531697
C=CC(=C)C,-3.239605818,-1.17219695,2.33714722563604,val,-1.491654877,-4.125469255,0.003466805
C=CC(=C)C,-3.239605818,-1.241448437,2.25883794036333,val,-1.57987911,-4.125469255,0.003350645
C=CC(=C)C,-3.239605818,-1.268585165,2.23191575279991,val,-1.614450454,-4.125469255,0.00331071
C=CC=C,-4.159232302,-1.313219588,2.46805842724807,val,-1.671313316,-5.297044696,0.003660992
C=CC=C,-4.159232302,-1.406195296,2.3808941793199,val,-1.789761467,-5.297044696,0.003531697
C=CC=C,-4.159232302,-1.584884669,2.22381718664994,val,-2.017406151,-5.297044696,0.003298697
C=CC=C,-4.159232302,-1.762997379,2.08618335941171,val,-2.244316185,-5.297044696,0.003094538
C=CC=C,-4.159232302,-1.848998074,2.02356357135104,val,-2.353878387,-5.297044696,0.003001651
C=Cc1ccccc1,-3.412737117,-0.542275932,2.08618335941171,val,-0.689155159,-4.346033126,0.003094538
C=Cc1ccccc1,-3.412737117,-0.827626877,1.85639589873995,val,-1.052683357,-4.346033126,0.002753683
C=Cc1ccccc1,-3.412737117,-0.923179174,1.80664631182547,val,-1.174414002,-4.346033126,0.002679887
C=Cc1ccccc1,-3.412737117,-1.092640453,1.67220660815493,val,-1.390302383,-4.346033126,0.002480466
C=Cc1ccccc1,-3.412737117,-1.148148504,1.63173197945999,val,-1.461017907,-4.346033126,0.002420428
C=CCOCC=C,-3.586913364,-0.736423765,2.22381718664994,val,-0.936493439,-4.56792823,0.003298697
C=CCOCC=C,-3.586913364,-0.825380956,2.1528028805089,val,-1.049822124,-4.56792823,0.003193358
C=CCOCC=C,-3.586913364,-0.908083544,2.08618335941171,val,-1.15518264,-4.56792823,0.003094538
C=CCOCC=C,-3.586913364,-0.986643913,2.02356357135104,val,-1.255266099,-4.56792823,0.003001651
C=CCOCC=C,-3.586913364,-1.141410707,1.90896275926973,val,-1.452434164,-4.56792823,0.002831658
C1=CC=C(C=C1)C2=CC=CC=C2C3=CC=CC=C3,-3.714045623,-0.850446757,1.15436690893377,val,-1.081755172,-4.72989076,0.001712329
C1=CC=C(C=C1)C2=CC=CC=C2C3=CC=CC=C3,-3.714045623,-0.893272754,1.1349331816046,val,-1.136314156,-4.72989076,0.001683502
C1=CC=C(C=C1)C2=CC=CC=C2C3=CC=CC=C3,-3.714045623,-0.989402962,1.09796413386196,val,-1.258781041,-4.72989076,0.001628664
C1=CC=C(C=C1)C2=CC=CC=C2C3=CC=CC=C3,-3.714045623,-1.034919977,1.08036881408219,val,-1.316768298,-4.72989076,0.001602564
C1=CC=C(C=C1)C2=CC=CC=C2C3=CC=CC=C3,-3.714045623,-1.226352807,1.00022314371062,val,-1.560647748,-4.72989076,0.00148368
C1=CC=C(C=C1)CCO,-7.217588513,2.973481566,2.46751641050083,val,3.789810173,-9.193295062,0.003660188
C1=CC=C(C=C1)CCO,-7.217588513,2.487028902,2.3808941793199,val,3.170084661,-9.193295062,0.003531697
C1=CC=C(C=C1)CCO,-7.217588513,1.722048208,2.22381718664994,val,2.195523131,-9.193295062,0.003298697
C1=CC=C(C=C1)CCO,-7.217588513,1.419207865,2.1528028805089,val,1.809713985,-9.193295062,0.003193358
C1=CC=C(C=C1)CCO,-7.217588513,0.22869887,1.80664631182547,val,0.293042679,-9.193295062,0.002679887
C1=CC=C(C=C1)I,-2.677171782,0.44752995,2.32025504449728,val,0.571826645,-3.408945845,0.003441748
C1=CC=C(C=C1)I,-2.677171782,0.217434153,2.17502893789661,val,0.278691781,-3.408945845,0.003226327
C1=CC=C(C=C1)I,-2.677171782,-0.226930909,1.86049473185339,val,-0.287415441,-3.408945845,0.002759763
C1=CC=C(C=C1)I,-2.677171782,-0.280959723,1.81638171462009,val,-0.356246464,-3.408945845,0.002694328
C1=CC=C(C=C1)I,-2.677171782,-0.563995577,1.59770155236563,val,-0.716825308,-3.408945845,0.002369949
C1=CC=C2C(=C1)C=CC=N2,-3.067481376,-1.369465855,1.97697979369656,val,-1.742969305,-3.906188087,0.002932551
C1=CC=C2C(=C1)C=CC=N2,-3.067481376,-1.42042436,1.92065589419617,val,-1.807888851,-3.906188087,0.002849003
C1=CC=C2C(=C1)C=CC=N2,-3.067481376,-1.511682331,1.81711653831971,val,-1.924148657,-3.906188087,0.002695418
C1=CC=C2C(=C1)C=CC=N2,-3.067481376,-1.590808836,1.72416943012063,val,-2.024953356,-3.906188087,0.002557545
C1=CC=C2C(=C1)C=CC=N2,-3.067481376,-1.633579261,1.68117280559059,val,-2.079441542,-3.906188087,0.002493766
C1=CC=CC=CC=C1,-3.828973505,0.244064929,2.29967661015715,val,0.312618558,-4.876305295,0.003411223
C1=CC=CC=CC=C1,-3.828973505,0.106331005,2.22381718664994,val,0.137149838,-4.876305295,0.003298697
C1=CC=CC=CC=C1,-3.828973505,-0.144751656,2.08618335941171,val,-0.182721637,-4.876305295,0.003094538
C1=CC=CC=CC=C1,-3.828973505,-0.257005978,2.02356357135104,val,-0.32573014,-4.876305295,0.003001651
C1=CC=CC=CC=C1,-3.828973505,-0.445318064,1.90896275926973,val,-0.56563386,-4.876305295,0.002831658
C1CC[C@@H]2CCCC[C@@H]2C1,-3.772938114,2.163201404,2.77256936836847,val,2.757538534,-4.804917956,0.004112688
C1CC[C@@H]2CCCC[C@@H]2C1,-3.772938114,1.857505815,2.66304625546652,val,2.368091895,-4.804917956,0.003950227
C1CC[C@@H]2CCCC[C@@H]2C1,-3.772938114,0.954877448,2.29967661015715,val,1.218171524,-4.804917956,0.003411223
C1CC[C@@H]2CCCC[C@@H]2C1,-3.772938114,0.784985288,2.22381718664994,val,1.001734214,-4.804917956,0.003298697
C1CC[C@@H]2CCCC[C@@H]2C1,-3.772938114,-0.647538093,1.4876977703831,val,-0.823255866,-4.804917956,0.002206775
C1CC[C@@H]2CCCC[C@H]2C1,-3.478059551,1.560129127,2.77256936836847,val,1.989243274,-4.429251869,0.004112688
C1CC[C@@H]2CCCC[C@H]2C1,-3.478059551,0.591454925,2.29967661015715,val,0.755182571,-4.429251869,0.003411223
C1CC[C@@H]2CCCC[C@H]2C1,-3.478059551,0.08341624,2.02356357135104,val,0.107957142,-4.429251869,0.003001651
C1CC[C@@H]2CCCC[C@H]2C1,-3.478059551,-0.018786225,1.96459295823168,val,-0.022245609,-4.429251869,0.002914177
C1CC[C@@H]2CCCC[C@H]2C1,-3.478059551,-0.825380956,1.4876977703831,val,-1.049822124,-4.429251869,0.002206775
C1CC[C@H]2CCCC[C@H]2C1,-3.795194459,1.588806237,2.56184754902589,val,2.025777017,-4.833271844,0.003800114
C1CC[C@H]2CCCC[C@H]2C1,-3.795194459,0.951153996,2.29967661015715,val,1.213427963,-4.833271844,0.003411223
