SMILES,lnA,EaR
CCC(Cl)Cl,22.38407058,-3957.647354
ClCCCCl,22.70314082,-4452.511315
C=C(Cl)CCl,22.46479045,-4082.01361
c1(CCCCCCCCCCCCCCC)ccccc1,25.21641761,-8849.693855
ClC(F)(F)C(F)(F)C(F)(F)Cl,22.43269166,-3409.440116
C1(Cl)(F)C(Cl)(F)C(F)(F)C1(F)(F),21.51933278,-3325.602963
C(F)(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)(F),22.84997618,-3466.865005
C(F)(F)(F)C1(F)C(F)(F)C(F)(F)C(F)(F)C1(F)(F),22.34742377,-3490.014073
C(F)(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)(F),22.99505124,-4104.287451
C(F)(F)C(F)(F)C(F),22.7198384,-3357.147765
c1(C(F)(F)F)ccccc1,22.24171704,-4044.847894
BrCBr,22.47326126,-4073.312615
CC(Br)CC,22.73096829,-4135.722459
BrCCl,22.50522986,-3772.997841
FC(F)(F)C(Br)Cl,22.39753217,-3558.854782
BrC(Cl)(Cl)Cl,21.96474452,-3957.116875
FC(Cl)(Cl)C(F)F,22.04657855,-3200.332062
ClC(F)(F)C(Cl)F,21.9351755,-3146.002963
C(Cl)(Cl)(F)C,22.11632113,-3255.469777
ClC(Cl)(F)C(F)(F)Cl,21.88888841,-3328.602707
ClC(Cl)(Cl)CF,22.39666727,-4025.055034
ICCCCCC,22.75946883,-5161.049818
ICCCC,22.42244263,-4451.792885
CCCCCCN,22.74279685,-4567.072055
CCCCCCCN,22.85633273,-4908.245838
CCCCCCCCN,22.97689527,-5221.508872
CCCCCCCCCN,23.16880613,-5579.981988
CCCCCCCCCCN,23.31555429,-5879.36844
CC(=C)CNCC,22.59264206,-4210.860436
NCCNCCNCCNCCNCCN,26.43063056,-9685.221997
C=CCN(CC=C)CC=C,23.50262952,-5137.010078
CCCCN(CCCC)CCCC,24.73079222,-6527.147924
NCCNCCN,23.90900884,-6026.593186
NCCNCCNCCNCCN,25.64976095,-8703.016746
CCCN(CCC)CCC,24.98829874,-5876.137916
C=CCC#N,22.96072096,-4517.51779
CCCCN=C=O,23.37506403,-4665.01055
C1(N=C=O)CCCCC1,24.23258468,-5709.876452
c1(N)c(CC)cccc1,23.78242423,-6002.246435
N1C(C)C1,22.66093603,-3814.537208
C1(N)CCCC1,22.98262532,-4413.002327
N(C1CCCCC1)(C2CCCCC2),23.02373241,-6113.791367
C1(NC)CCCCC1,22.83561691,-4805.583374
NCCNCCO,25.42984095,-7294.403159
N#C/C=CCCC#N,24.9557185,-7865.161531
N#C/C=C/CCC#N,24.73382829,-7431.81763
C=CCNCC=C,23.51695161,-4666.281078
N1(C=O)CCOCC1,23.23694444,-6061.570012
FS(=O)(=O)O,25.29326007,-6019.628591
ClS(=O)(=O)O,23.17924324,-5042.722146
ClN(Cl)Cl,22.93963322,-3935.876805
OCl(=O)(=O)=O,21.18496544,-3761.009146
CCCCC(CC)CC=O,23.53641731,-5488.905983
CCCCCC(=O)CCCCC,23.71271049,-6165.770879
O=C(C(=O)C)C,22.83688277,-4108.68624
CC(C)=C=O,22.40297658,-3355.264191
O=C(C)C1CCCCC1,22.8828062,-5221.895257
C1(C2C(=O)CCCC2)=CCCCC1,23.22752804,-6530.719706
CC1CCC(=O)C1,22.76854666,-4748.836203
CC(=O)C=O,22.74906755,-3862.408854
O=C(C)C=CC,22.9171869,-4576.550874
CC(=O)C=C,22.82035769,-4026.349432
CCCCCCCCC(CCCC)CO,26.98107368,-8800.76879
CCCCCCCCCCCC(C)CO,26.98339131,-8804.590079
CCCCCCCCCCC(C)CO,26.73406984,-8282.68734
CCCCC(C)CCCO,25.50088771,-6739.892639
CCC(C)CCCCCO,25.62922475,-6829.761336
CCCCC(CC)CCO,25.81495465,-6944.252484
OCC(CCC=C1)C1,23.71183023,-5906.684316
C1CCC(O)C1,24.02011975,-5247.919658
CCCCCCCC/C=CCCCCCCCCO,25.06377213,-8532.088162
Oc1ccccc1C(C)(C)C,23.89696877,-6200.040207
CC(C)c1ccccc1O,23.86608119,-6068.090554
C=CCCCCC(C)C,22.97208081,-4733.443254
C=C(C)CCCCCCC,23.15482606,-5200.357422
C=CCCCCCC(C)C,23.22357044,-5260.193031
C/C=CCCCCCCC,23.32902173,-5347.460828
C/C=C/CCCCCCC,23.27950777,-5309.017143
C/C=CCCCCCCCCC,23.76981924,-6088.655858
C/C=C/CCCCCCCCC,23.69540487,-6047.865504
C1CC1(C(=O)O),24.63442315,-6019.972833
