smiles,temperature,lnA,vapor_pressure,splits,vapor_pressure_unnormed,temperature_unnormed,lnA_unnormed,,mean,8.580092891
C=C(C)CC(C)(C)C,2.260319682,1.88127864194571,-1.437793272,train,-1.848345278,0.00556483,22.22516856,,,
C=C(C)CC(C)(C)C,0.738510837,1.88127864194571,-0.17867131,train,7.284174524,0.003672757,22.22516856,,,
C=C(C)CC(C)(C)C,-0.011027512,1.88127864194571,0.367010071,train,11.24204848,0.002740852,22.22516856,,,
C=C(C)CC(C)(C)C,-0.457177787,1.88127864194571,0.659391892,train,13.36271895,0.002186151,22.22516856,,,
C=C(C)CC(C)(C)C,-0.75313808,1.88127864194571,0.857648728,train,14.80069282,0.001818182,22.22516856,,,
CC(C)=CC(C)(C)C,2.605316201,1.91873942652902,-1.835181184,train,-4.730633955,0.005993766,22.49687485,,,
CC(C)=CC(C)(C)C,0.832489363,1.91873942652902,-0.292490681,train,6.458632846,0.003789601,22.49687485,,,
CC(C)=CC(C)(C)C,0.01297705,1.91873942652902,0.334931444,train,11.00937944,0.002770697,22.49687485,,,
CC(C)=CC(C)(C)C,-0.459231989,1.91873942652902,0.655894889,train,13.33735489,0.002183597,22.49687485,,,
CC(C)=CC(C)(C)C,-0.766312639,1.91873942652902,0.857736212,train,14.80132735,0.001801802,22.49687485,,,
C=C(CC)CCCC,2.017682576,1.92876486681629,-1.391983839,train,-1.516085524,0.005263158,22.56959023,,,
C=C(CC)CCCC,0.609094514,1.92876486681629,-0.199794041,train,7.130969541,0.003511853,22.56959023,,,
C=C(CC)CCCC,-0.096128091,1.92876486681629,0.351733417,train,11.13124559,0.002635046,22.56959023,,,
C=C(CC)CCCC,-0.519558282,1.92876486681629,0.659495143,train,13.36346784,0.002108593,22.56959023,,,
C=C(CC)CCCC,-0.801970012,1.92876486681629,0.857200144,train,14.79743921,0.001757469,22.56959023,,,
C=CCCCCCCC,1.975551331,1.98781840257806,-1.719589223,test,-3.892235524,0.005210776,22.9979106,,,
C=CCCCCCCC,0.537006829,1.98781840257806,-0.319413397,test,6.263360075,0.003422226,22.9979106,,,
C=CCCCCCCC,-0.166350586,1.98781840257806,0.296408371,test,10.72996828,0.002547738,22.9979106,,,
C=CCCCCCCC,-0.583406638,1.98781840257806,0.628729028,test,13.14031857,0.00202921,22.9979106,,,
C=CCCCCCCC,-0.859408036,1.98781840257806,0.844041839,test,14.70200089,0.001686056,22.9979106,,,
C=CCCCCCCCC,1.672094086,2.01494685543255,-1.68670165,train,-3.653699131,0.004833486,23.1946756,,,
C=CCCCCCCCC,0.384749777,2.01494685543255,-0.328256543,train,6.199219976,0.003232924,23.1946756,,,
C=CCCCCCCCC,-0.262103415,2.01494685543255,0.282669027,train,10.63031564,0.002428688,23.1946756,,,
C=CCCCCCCCC,-0.651239535,2.01494685543255,0.615406583,train,13.04368972,0.001944873,23.1946756,,,
C=CCCCCCCCC,-0.911092043,2.01494685543255,0.831986502,train,14.61456249,0.001621797,23.1946756,,,
C=CCCCCCCCCC,1.375303748,2.03940088113179,-1.603724508,val,-3.051858787,0.004464485,23.37204275,,,
C=CCCCCCCCCC,0.240816504,2.03940088113179,-0.319808321,val,6.260495652,0.003053971,23.37204275,,,
C=CCCCCCCCCC,-0.348917973,2.03940088113179,0.275710884,val,10.57984763,0.002320751,23.37204275,,,
C=CCCCCCCCCC,-0.710301457,2.03940088113179,0.604914821,val,12.96759208,0.001871441,23.37204275,,,
C=CCCCCCCCCC,-0.954449857,2.03940088113179,0.820436809,val,14.53079158,0.00156789,23.37204275,,,
C=CCCCCCCCCCC,1.164638676,2.06957126126792,-1.595848709,train,-2.994734942,0.004202564,23.59087111,,,
C=CCCCCCCCCCC,0.131200628,2.06957126126792,-0.329637951,train,6.189200503,0.002917685,23.59087111,,,
C=CCCCCCCCCCC,-0.418280663,2.06957126126792,0.264724319,train,10.50016113,0.002234512,23.59087111,,,
C=CCCCCCCCCCC,-0.759261274,2.06957126126792,0.593788384,train,12.88689107,0.001810569,23.59087111,,,
C=CCCCCCCCCCC,-0.991489835,2.06957126126792,0.809540524,train,14.45175988,0.001521838,23.59087111,,,
C=CCCCCCCCCCCC,1.000685381,2.09423843761953,-1.585931664,train,-2.922805766,0.00399872,23.76978426,,,
C=CCCCCCCCCCCC,0.042126769,2.09423843761953,-0.342891874,train,6.093068663,0.002806939,23.76978426,,,
C=CCCCCCCCCCCC,-0.476246313,2.09423843761953,0.249804162,train,10.39194395,0.002162443,23.76978426,,,
C=CCCCCCCCCCCC,-0.80102495,2.09423843761953,0.580771314,train,12.79247715,0.001758644,23.76978426,,,
C=CCCCCCCCCCCC,-1.023595384,2.09423843761953,0.798945179,train,14.37491093,0.001481921,23.76978426,,,
C=CCCCCCCCCCCCC,0.874409879,2.12992815260508,-1.631233799,train,-3.251386039,0.003841721,24.02864483,,,
C=CCCCCCCCCCCCC,-0.029748578,2.12992815260508,-0.369816146,train,5.897784606,0.002717576,24.02864483,,,
C=CCCCCCCCCCCCC,-0.52455062,2.12992815260508,0.233292,train,10.27217981,0.002102386,24.02864483,,,
C=CCCCCCCCCCCCC,-0.836683127,2.12992815260508,0.568806601,train,12.70569605,0.00171431,24.02864483,,,
C=CCCCCCCCCCCCC,-1.051539446,2.12992815260508,0.78892563,train,14.30223829,0.001447178,24.02864483,,,
C=CCCCCCCCCCCCCC,0.769814491,2.14517593967111,-1.664411709,train,-3.492028277,0.003711677,24.13923834,,,
C=CCCCCCCCCCCCCC,-0.093695864,2.14517593967111,-0.382303767,train,5.807210813,0.00263807,24.13923834,,,
C=CCCCCCCCCCCCCC,-0.569739038,2.14517593967111,0.223513068,train,10.20125239,0.002046203,24.13923834,,,
C=CCCCCCCCCCCCCC,-0.87131742,2.14517593967111,0.55783231,train,12.62609857,0.001671249,24.13923834,,,
