smiles,lnA,EaR,Viscosity,temperature,splits,Viscosity_unnormed,lnA_unnormed,EaR_unnormed,,,,mean,0.001687455,,,,,,
Clc1ccccc1Cl,-2.958583688,0.937736449,-0.881863064,0.002213614,train,-1.121778567,-3.767455831,1.194646971,,,,,,,,,,,
Clc1ccccc1Cl,-2.958583688,0.937736449,-0.478629043,0.002644453,train,-0.608071008,-3.767455831,1.194646971,,,,,,,,,,,
ClCCCl,-3.257657837,0.912686516,-0.16392445,0.003389945,train,-0.207147178,-4.148466963,1.162734138,,,,,,,,,,,
ClCCCl,-3.257657837,0.912686516,-0.618059581,0.002889338,train,-0.785701162,-4.148466963,1.162734138,,,,,,,,,,,
ClCCCl,-3.257657837,0.912686516,-0.087435988,0.00347367,train,-0.109703265,-4.148466963,1.162734138,,,,,,,,,,,
ClCCCl,-3.257657837,0.912686516,-0.508758074,0.00301223,train,-0.646454453,-4.148466963,1.162734138,,,,,,,,,,,
ClCCCl,-3.257657837,0.912686516,-0.679097148,0.002823104,train,-0.863461118,-4.148466963,1.162734138,,,,,,,,,,,
FC(F)(Cl)C(F)(F)Cl,-3.229908445,0.725810188,-0.449474906,0.003831418,train,-0.570929548,-4.113115104,0.924659528,,,,,,,,,,,
FC(F)(Cl)C(F)(F)Cl,-3.229908445,0.725810188,-0.361510693,0.003952569,train,-0.458865885,-4.113115104,0.924659528,,,,,,,,,,,
FC(F)(Cl)C(F)(F)Cl,-3.229908445,0.725810188,-0.004470656,0.004444444,train,-0.004008021,-4.113115104,0.924659528,,,,,,,,,,,
FC(F)(Cl)C(F)(F)Cl,-3.229908445,0.725810188,-0.531406045,0.003717472,train,-0.675307262,-4.113115104,0.924659528,,,,,,,,,,,
FC(F)(Cl)C(F)(F)Cl,-3.229908445,0.725810188,0.177590388,0.004694836,train,0.227932068,-4.113115104,0.924659528,,,,,,,,,,,
C=CC=C,-4.159232302,0.776442014,-1.313219588,0.003660992,train,-1.671313316,-5.297044696,0.989162895,,,,,,,,,,,
C=CC=C,-4.159232302,0.776442014,-1.584884669,0.003298697,train,-2.017406151,-5.297044696,0.989162895,,,,,,,,,,,
C=CC=C,-4.159232302,0.776442014,-1.762997379,0.003094538,train,-2.244316185,-5.297044696,0.989162895,,,,,,,,,,,
C=CC=C,-4.159232302,0.776442014,-1.406195296,0.003531697,train,-1.789761467,-5.297044696,0.989162895,,,,,,,,,,,
C=CC=C,-4.159232302,0.776442014,-1.848998074,0.003001651,train,-2.353878387,-5.297044696,0.989162895,,,,,,,,,,,
C1CC=CC=C1,-3.400276787,0.879978219,-0.387522307,0.003424658,train,-0.49200387,-4.330159055,1.121064789,,,,,,,,,,,
C1CC=CC=C1,-3.400276787,0.879978219,-0.695840845,0.003072669,train,-0.884792065,-4.330159055,1.121064789,,,,,,,,,,,
