original_smiles,augmented_smiles
O=C(CCc1nc2ccccc2c(=O)[nH]1)Nc1ncc(Cc2ccc(F)c(F)c2)s1,cc(c)Cc1cnc(NC(=O)CCc2nc(=O)c3ccccc3n2)s1
O=C(O)c1cc(-c2nc(-c3cc[nH]c(=O)c3)c(-c3ccc(F)cc3)[nH]2)ccc1O,ccc(cc)-c1nc(-c2cccc(C)c2)nc1-c1ccnc(=O)c1
O=c1[nH]c2cnc(-n3cnc4ccc(F)cc43)nc2n1C1CCOCC1,CC(C)n1cnc2cnc(-n3cnc4ccc(F)cc43)nc21
CN(c1[nH]cnc2nccc1-2)C1CC(NS(=O)(=O)N2CCC(C#N)C2)C1,ccc(nc)N(C)C1CC(NS(=O)(=O)N2CCC(C#N)C2)C1
O=c1[nH]c2cnc(-n3cnc4ccccc43)nc2n1C1CCOCC1,ccn(cn)-c1ncc2nc(=O)n(C3CCOCC3)c2n1
NC(=O)c1ccc2c(c1)nc(C1CCC(O)CC1)n2CCO,OCCn1c(C2CCCCC2)nc2ccccc21
NCCn1c(C2CCNCC2)nc2cc(C(N)=O)ccc21,CCC(CC)c1nc2cc(C)ccc2n1CC
NC(=O)c1cc(-c2ccnc(N)n2)[nH]c1-c1ccccc1,cc(n)-c1cc(C(N)=O)c(-c2ccccc2)n1
CNCCn1c(C2CCNCC2)nc2cc(C(N)=O)ccc21,CC(C)c1nc2cc(C(N)=O)ccc2n1CCN
Cc1ccc(OCC(C)C)c(-c2cccn3nc(Nc4ccc5c(c4)CCNCC5)nc23)c1,Oc1ccccc1-c1cccn2nc(Nc3ccc4c(c3)CCNCC4)nc12
Cc1ccc(Cl)cc1-c1[nH]c(-c2ccnc(N)n2)cc1C(=O)N(C)C,ccc(c(c)C)-c1nc(-c2ccnc(N)n2)cc1C(N)=O
Cc1c(NC(=O)c2ccc(C(C)(C)C)cc2)cccc1-c1nc2ncnc-2c(Nc2ccc(C(=O)N3CCOCC3)cc2)[nH]1,Cc1ccc(Nc2nc(-c3cccc(NC(=O)c4ccc(C(C)(C)C)cc4)c3C)nc3ncnc23)cc1
COc1ccc(-c2nc3[nH]cc(Cl)c(NCC4CCCNC4)c-3n2)cc1,CCCNc1c(Cl)cnc2nc(-c3ccc(OC)cc3)nc12
c1cc(-c2ccncc2)c2nc(Nc3ccc(OCCN4CCCC4)cc3)nn2c1,CCOc1ccc(Nc2nc3c(-c4ccncc4)cccn3n2)cc1
COc1ccccc1Nc1nc2c(-c3cccc(C(F)(F)F)c3)cccn2n1,cc(c)Nc1nc2c(-c3cccc(C(F)(F)F)c3)cccn2n1
COc1cc(N2CCN(C)CC2)ccc1Nc1nc2c(NCc3cccnc3N(C)S(C)(=O)=O)cccn2n1,COc1cc(N)ccc1Nc1nc2c(NCc3cccnc3N(C)S(C)(=O)=O)cccn2n1
Cc1nn(C)c(C)c1Nc1nc2c(-c3ccc(S(C)(=O)=O)cc3)cccn2n1,cc(c)Nc1nc2c(-c3ccc(S(C)(=O)=O)cc3)cccn2n1
CS(=O)(=O)c1ccc(Oc2cccn3nc(Nc4cnn(CCN5CCCC5)c4)nc23)cc1,ccc(cc)Oc1cccn2nc(Nc3cnn(CCN4CCCC4)c3)nc12
Oc1cccn2nc(Nc3ccc(C(F)(F)F)cc3)nc12,cn1cnc(Nc2ccc(C(F)(F)F)cc2)n1
COc1ccc(C(F)(F)F)cc1Nc1cccn2nc(Nc3cccc(N4CCN(C)CC4)c3)nc12,ccc(Nc1cccn2nc(Nc3cccc(N4CCN(C)CC4)c3)nc12)c(c)O
CC(C)COc1ccc(C(F)(F)F)cc1-c1cccn2nc(Nc3ccc4c(c3)CCN(CC(=O)N(C)C)CC4)nc12,CCc1ccc(Nc2nc3c(-c4cc(C(F)(F)F)ccc4OCC(C)C)cccn3n2)cc1CC
COc1ccc(CNc2cccn3nc(Nc4ccc(N5CCN(C)CC5)cc4)nc23)cc1,CNc1ccc(Nc2nc3c(NCc4ccc(OC)cc4)cccn3n2)cc1
COc1cccc(CNc2cccn3nc(Nc4cccc(N5CCN(C)CC5)c4)nc23)c1,CNc1cccc(Nc2nc3c(NCc4cccc(OC)c4)cccn3n2)c1
CN1CCN(c2ccc(Nc3nc4ccc(-c5ccc(S(C)(=O)=O)cc5)cn4n3)cc2)CC1,CNc1ccc(Nc2nc3ccc(-c4ccc(S(C)(=O)=O)cc4)cn3n2)cc1
CN(C)Cc1ccc(-c2ccc3cnc(Nc4ccc(C5CCN(CC(N)=O)CC5)cc4)nn23)cc1,CCC(C)c1ccc(Nc2ncc3ccc(-c4ccc(CN(C)C)cc4)n3n2)cc1
COc1ccc(-c2nc3[nH]cc(Cl)c(NCC4CCNCC4)c-3n2)c(C)c1,ccc(-c1nc2ncc(Cl)c(NCC(C)CC)c2n1)c(c)C
NCCc1nc2cc(C(N)=O)ccc2n1CCN,CCc1nc2cc(C(N)=O)ccc2n1C
CCn1nc(C#Cc2cc(C(=O)Nc3ccc(CN4CCN(C)CC4)c(C(F)(F)F)c3)ccc2C)c2c(N)ncnc21,CCn1nc(C#Cc2cc(C(=O)Nc3ccc(C)c(C(F)(F)F)c3)ccc2C)c2c(N)ncnc21
Cc1ccc(Cl)cc1-c1cn(-c2ncnn3cccc23)cc1C(N)=O,ccc(c)-c1cn(-c2ncnn3cccc23)cc1C(N)=O
COc1ccc(-c2cccn3nc(N)nc23)cn1,ccc(cn)-c1cccn2nc(N)nc12
NCCn1c(-c2ccccc2)nc2cc(C(N)=O)ccc21,cc-c1nc2cc(C(N)=O)ccc2n1CCN
Cc1ccc(-c2cccn3nc(Nc4ccc5c(c4)CCNCC5)nc23)c(OCC(C)C)c1,CCCOc1cc(C)ccc1-c1cccn2nc(Nc3cccc(C)c3)nc12
CN1CCC(CNc2c(Cl)c[nH]c3nc(-c4ccc(S(C)(=O)=O)cc4)nc2-3)CC1,CC(C)CNc1c(Cl)cnc2nc(-c3ccc(S(C)=O)cc3)nc12
CS(=O)(=O)c1ccc(-c2cccn3nc(NCc4cccnc4)nc23)cc1,CCNc1nc2c(-c3ccc(S(C)(=O)=O)cc3)cccn2n1
COc1ccc(-c2nc3[nH]cc(Cl)c(NCC4CCN(C)CC4)c-3n2)c(C)c1,Cc1cc(O)ccc1-c1nc2ncc(Cl)c(NCC(C)C)c2n1
NCCn1c(Cc2ccccc2)nc2cc(C(N)=O)ccc21,ccCc1nc2cc(C(N)=O)ccc2n1CCN
O=C(O)CN1CCN(c2cc(-c3cnc4ccc(N5CCCC5c5cccc(F)c5)nn34)ccn2)CC1,CCN(C)c1cc(-c2cnc3ccc(N4CCCC4c4cccc(F)c4)nn23)ccn1
CC(=O)Nc1ccc(-c2nc(Nc3ccc(N4CCOCC4)cc3)ncc2C(F)(F)F)cc1,CC(=O)Nc1ccc(-c2nc(Nc3ccc(N)cc3)ncc2C(F)(F)F)cc1
N#Cc1ccc(-c2nc3cc(C(N)=O)ccc3n2CCN)cc1,CCn1c(-c2ccc(C#N)cc2)nc2ccccc21
Cc1ccc(-c2nc3cc(C(N)=O)ccc3n2CCN)cc1,ccc(c)-c1nc2cc(C(N)=O)ccc2n1CC
Cc1cccn2nc(Nc3ccc(S(C)(=O)=O)cc3)nc12,Cc1cccn2nc(Nc3ccccc3)nc12
NCCn1c(-c2ccc(O)cc2O)nc2cc(C(N)=O)ccc21,ccc1c(c)nc(-c2ccc(O)cc2O)n1CCN
CN1CCN(c2cccc(Nc3nc4c(-c5ccccc5S(C)(=O)=O)cccn4n3)c2)CC1,ccc(cc)-c1cccn2nc(Nc3cccc(N4CCN(C)CC4)c3)nc12
Nc1nc(Nc2cccc(S(N)(=O)=O)c2)nn1C(=O)c1c(F)cccc1F,ccc(cc)Nc1nc(N)n(C(=O)c2c(F)cccc2F)n1
CN(C)c1ccc(Nc2nc(N)n(C(=O)c3c(F)cccc3F)n2)cc1,cc(cF)C(=O)n1nc(Nc2ccc(N(C)C)cc2)nc1N
c1nc(-c2cn(CC3CO3)nn2)c2cc[nH]c2n1,Cn1cc(-c2ncnc3nccc23)nn1
